channel,energy_keV,raw_counts,background_adjusted_counts,background_adjusted_unc,efficiency,final_corrected_counts,final_corrected_unc
266,131.2043477276,1535.0,1530.75,39.18020599316276,0.0009361492557735992,1635155.9225831407,41852.520579942866
267,131.70398349190003,1665.0,1660.3958333333333,40.80558687408979,0.0009367961975896971,1772419.4842009405,43558.65980143745
268,132.2036193904,1643.0,1638.6041666666667,40.53506605226037,0.0009374195561680037,1747994.434173077,43241.11416872949
269,132.70325542310002,1759.0,1754.5833333333333,41.94153089586608,0.0009380197071253376,1870518.6255739157,44712.84619850943
270,133.20289159,1959.0,1954.4583333333333,44.26166081447414,0.0009385970195987537,2082318.9212435982,47157.25693801565
271,133.70252789110003,1953.0,1948.625,44.19379080632633,0.000939151856374569,2074877.440505016,47057.129798932314
272,134.2021643264,1805.0,1800.9583333333333,42.48628250846252,0.0009396845740145131,1916556.2393339002,45213.34465133652
273,134.7018008959,1661.0,1656.5,40.75651788364654,0.0009401955229788439,1761867.568515612,43348.98102313515
274,135.2014375996,1556.0,1551.6041666666667,39.44732665037152,0.0009406850477468468,1649440.6607005282,41934.68020444971
275,135.7010744375,1629.0,1625.1458333333333,40.36186684407559,0.000941153486934461,1726759.6156146456,42885.53079215895
276,136.20071140960002,1561.0,1557.0208333333333,39.510541622528486,0.0009416011734092755,1653588.4590030774,41961.01570208523
277,136.7003485159,1551.0,1546.7083333333333,39.38387245716478,0.0009420284344029336,1641891.3451520721,41807.51983577507
278,137.19998575640003,1564.0,1559.5625,39.54860867232458,0.0009424355916209939,1654821.3096637668,41964.25625681303
279,137.6996231311,1484.0,1480.0833333333333,38.52377963313338,0.0009428229613503199,1569842.2652048524,40860.035459848434
280,138.19926064,1580.0,1575.8125,39.75031118850937,0.0009431908545641174,1670724.957069521,42144.50447240546
281,138.6988982831,1589.0,1584.9166666666667,39.86332988404813,0.0009435395770245444,1679756.4249129933,42248.70991607717
282,139.19853606040002,1547.0,1542.5625,39.33309608862067,0.0009438694293830876,1634296.4948109589,41672.17929107923
283,139.69817397190002,1481.0,1477.25,38.484777834879075,0.0009441807072787027,1564583.9706444524,40759.97056304939
284,140.19781201760003,1564.0,1559.5,39.54862513413077,0.0009444737014338739,1651184.1437537225,41873.71768434541
285,140.69745019750002,1548.0,1543.7916666666667,39.34574530506584,0.0009447486977483243,1634076.5225144816,41646.78437646
286,141.19708851160001,1634.0,1629.6666666666667,40.42388251736562,0.0009450059773909379,1724504.083208029,42776.32468418
